Serial Number,Scheme Name,Description
1,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),"This is a central sector scheme launched on February 24, 2019, with an effective date of December 1, 2018. Its primary objective is to supplement the financial needs of all landholding farmer families across the country, subject to certain exclusions. Under the scheme, a financial benefit of Rs. 6,000 per year is transferred in three equal four-monthly installments of Rs. 2,000 each directly into the bank accounts of eligible beneficiaries through Direct Benefit Transfer (DBT) mode. As of the latest information, Rs. 2.81 lakh crores have been transferred to more than 11 crore beneficiaries through various installments."
2,Pradhan Mantri Kisan Maan Dhan Yojana (PM-KMY),"Pradhan Mantri Kisan MaanDhan Yojana (PMKMY) is a central sector scheme launched on September 12, 2019, to provide social security to the most vulnerable small and marginal farmer families (SMFs) in their old age. It is a contributory scheme where eligible SMFs, aged between 18 and 40 years, can opt to become members by paying a monthly subscription ranging from Rs. 55 to Rs. 200 until they attain 60 years of age. A similar amount is contributed by the Central Government. Upon reaching 60 years, enrolled farmers receive a minimum fixed pension of Rs. 3,000 per month, subject to exclusion criteria. Life Insurance Corporation (LIC) manages the pension fund, and beneficiary registration is facilitated through Common Service Centers (CSC) and State Governments. As of November 25, 2024, over 24.66 lakh farmers have been enrolled under the scheme."
3,Pradhan Mantri Fasal Bima Yojana (PMFBY),"PMFBY was launched in 2016 to provide a simple and affordable crop insurance product, ensuring comprehensive risk cover for crops to farmers against all non- preventable natural risks from pre-sowing to post-harvest and to provide adequate claim amounts. The scheme is demand-driven and available for all farmers. It features a uniform maximum premium: 2% of the sum insured for Kharif crops, 1.5% for Rabi crops, and 5% for annual commercial/horticultural crops. The difference between the actual premium and the rate payable by farmers is shared equally by the Central and State governments. PMFBY includes provisions for various eventualities such as prevented sowing (up to 25% of sum insured), yield shortfall, advance payments for mid-season losses (up to 25% of likely claims), and post-harvest losses (for damage to crops in cut and spread in the field up to 14 days due to cyclonic or unseasonal rain). It also leverages remote sensing technology and drones to supplement Crop Cutting Experiments for faster claim settlement. Since 2016-17, a total of 5549.40 lakh farmer applications have been insured, and Rs 150589.10 crore has been paid as claims."
4,Modified Interest Subvention Scheme (MISS),"The Interest Subvention Scheme (ISS), which MISS is a part of, provides concessional short-term agri-loans to farmers engaged in crop husbandry and allied activities like animal husbandry, dairying, and fisheries. ISS is available to farmers availing short-term crop loans up to Rs. 3.00 lakh at an interest rate of 7% per annum for one year. An additional 3% subvention is also given to the farmers for prompt and timely repayment of loans, thus reducing the effective rate of interest to 4% per annum. The benefit of ISS is also available for post-harvest loans against Negotiable Warehouse Receipts (NWRs) on crop loans for a further period of six months post-harvest to small and marginal farmers having Kisan Credit Cards (KCCs), especially in cases of natural calamities. As on January 5, 2024, 465.42 lakh new KCC applications have been sanctioned with a sanctioned credit limit of Rs. 5,69,974 crore."
5,Agriculture Infrastructure Fund (AIF),"The Agriculture Infrastructure Fund was launched under the Aatmanirbhar Bharat Package as a medium-to-long-term debt financing facility. It aims to mobilize investment in viable projects for post-harvest management infrastructure and community farming assets through interest subvention and credit guarantee support. The fund of 1 lakh crore rupees will be disbursed from FY 2020-21 to FY 2025-26, with support continuing until FY 2032-33. Loans from banks and financial institutions come with a 3% per annum interest subvention and credit guarantee coverage for loans up to 2 crore rupees. Eligible beneficiaries include Farmers, Agri-entrepreneurs, Start-ups, Primary Agricultural Credit Societies (PACS), and FPOs. Formation & Promotion of 10,000"
6,Farmer Producer Organizations (FPOs),"This is a central sector scheme launched in 2020 with a total budgetary outlay of Rs. 6865 crores. Its purpose is to facilitate the formation and promotion of 10,000 FPOs. FPOs receive financial assistance up to Rs. 18.00 lakh over three years, a matching equity grant up to Rs. 15.00 lakh, and a credit guarantee facility for project loans up to Rs. 2 crore. The scheme also includes provisions for training and skill development and facilitates the onboarding of FPOs on the National Agriculture Market (e-NAM) platform. As of December 31, 2023, a total of 7,774 FPOs were registered under the scheme."
7,National Beekeeping and Honey Mission (NBHM),"A new Central Sector Scheme, NBHM, was launched in 2020 under the Atma Nirbhar Bharat Abhiyan. Its objective is the overall promotion and development of scientific beekeeping to achieve the goal of a ""Sweet Revolution"". Under this mission, honeybees and beekeeping have been approved as the 5th Input for Agriculture. Four world-class and 35 mini honey testing labs have been sanctioned, and the Madhukranti portal has been launched for the online registration of beekeepers. The scheme targets 100 Honey FPOs under the broader 10,000 FPOs scheme."
8,Market Intervention Scheme and Price Support Scheme (MIS-PSS),"The Ministry of Agriculture & Farmers Welfare implements two key schemes for market intervention. The Price Support Scheme (PSS) is for the procurement of pulses, oilseeds, and copra. The Market Intervention Scheme (MIS) is for the procurement of agricultural and horticultural commodities that are perishable and not covered under the PSS. The primary objective of these interventions is to protect growers from making distress sales, especially during periods of bumper crops when prices tend to fall below economic levels and the cost of production."
9,Namo Drone Didi,"This Central Sector Scheme was recently approved for the period from 2024-25 to 2025-26, with an outlay of Rs. 1261 crores. The scheme aims to empower 15,000 women Self Help Groups (SHGs) by providing them with drones for agricultural services like applying fertilizers and pesticides. SHGs receive Central Financial Assistance of 80% of the drone cost, up to a maximum of Rs. 8.0 lakhs. The balance amount can be raised as a loan under the Agriculture Infrastructure Financing Facility (AIF) with a 3% interest subvention. The scheme is also designed to provide sustainable business and livelihood support to SHGs, enabling them to earn an additional income of at least Rs. 1.0 lakh per annum. The application process is in its early stages but is open to registered women SHGs across India."
10,Rashtriya Krishi Vikas Yojana (RKVY),"RKVY is a scheme that focuses on creating pre- and post-harvest infrastructure in agriculture and allied sectors. It provides states with flexibility and autonomy to implement projects according to local needs and priorities, and it aims to fill the resource gap of agriculture and allied sectors by providing financial support to increase the overall growth and farmers' income. Under the RKVY Agri-startup Programme, since 2019-20, 1524 Start-ups have been selected, and Rs. 106.25 crore has been released as grants-in-aid for funding these Start-ups."
